id,name,network_level,source,lat,lon,coord_source,coord_quality,voltage_in_kv,voltage_out_kv,voltage_levels,voltage_source,capacity_available_mw,capacity_reserved_mw,capacity_total_mw,operator,commune,departement,region,function,substation_type,osm_id,osm_match_score,osm_match_distance_m,source_id,code_insee,capacity_source,last_updated,notes
ORE_74186_PS_Enedis_MONTAGNY-MALTEN,PS Enedis MONTAGNY-MALTEN,DX_SOURCE,AGENCE_ORE,45.86463348032448,6.057522777859723,OFFICIAL,EXACT,400.0,63.0,400;63,OSM,,,,Energie et Services de Seyssel,Montagny-les-Lanches,Haute-Savoie,Auvergne-Rhône-Alpes,,transmission,way_199229562,,67.91651427559594,74186,74186,MISSING,10/02/2025,
ORE_47041_unknown,,DX_SOURCE,AGENCE_ORE,44.20543041548823,0.41581619134161485,OFFICIAL,EXACT,63.0,63.0,63,OSM,,,,Enedis,Bruch,Lot-et-Garonne,Nouvelle-Aquitaine,,,way_174760378,,68.58627608858974,47041,47041,MISSING,14/03/2025,
ORE_25056_unknown,,DX_SOURCE,AGENCE_ORE,47.234396583919796,5.98346546356653,OFFICIAL,EXACT,63.0,63.0,63,OSM,,,,Enedis,Besançon,Doubs,Bourgogne-Franche-Comté,,distribution,way_116765821,,19.15095757324095,25056,25056,MISSING,14/03/2025,
ORE_05119_unknown,,DX_SOURCE,AGENCE_ORE,44.6576588966055,6.615785700583323,OFFICIAL,EXACT,63.0,63.0,63,OSM,,,,Enedis,Risoul,Hautes-Alpes,Provence-Alpes-Côte d'Azur,,transmission,way_148605355,,19.020095133462263,05119,05119,MISSING,14/03/2025,
ORE_08171_unknown,,DX_SOURCE,AGENCE_ORE,49.31747297378733,4.966124053546639,OFFICIAL,EXACT,63.0,63.0,63,OSM,,,,Enedis,Fléville,Ardennes,Grand Est,,,way_209279499,,21.509657985148447,08171,08171,MISSING,14/03/2025,
ORE_88383_unknown,,DX_SOURCE,AGENCE_ORE,48.017664656714174,6.600545302735823,OFFICIAL,EXACT,63.0,63.0,63,OSM,,,,Enedis,Remiremont,Vosges,Grand Est,,,way_121033165,,54.98227767057253,88383,88383,MISSING,14/03/2025,
ORE_46045_unknown,,DX_SOURCE,AGENCE_ORE,44.47524746967623,1.8326837981153417,OFFICIAL,EXACT,63.0,63.0,63,OSM,,,,Enedis,Cajarc,Lot,Occitanie,,,way_345601587,,32.340172795740486,46045,46045,MISSING,14/03/2025,
ORE_26124_unknown,,DX_SOURCE,AGENCE_ORE,44.82698147787242,4.930607786588039,OFFICIAL,EXACT,225.0,225.0,225,OSM,,,,Enedis,Étoile-sur-Rhône,Drôme,Auvergne-Rhône-Alpes,,distribution,way_590596979,,48.52258954709117,26124,26124,MISSING,14/03/2025,
ORE_83137_unknown,,DX_SOURCE,AGENCE_ORE,43.1321266503195,5.8925840313778926,OFFICIAL,EXACT,225.0,225.0,225,OSM,,,,Enedis,Toulon,Var,Provence-Alpes-Côte d'Azur,,transmission,way_405909509,,55.22448767577249,83137,83137,MISSING,14/03/2025,
ORE_69133_unknown,,DX_SOURCE,AGENCE_ORE,45.648632103031744,4.771563210621019,OFFICIAL,EXACT,63.0,63.0,63,OSM,,,,Enedis,Millery,Rhône,Auvergne-Rhône-Alpes,,distribution,way_130330943,,31.08639393610715,69133,69133,MISSING,14/03/2025,
ORE_40217_unknown,,DX_SOURCE,AGENCE_ORE,44.34856786545469,-1.0805295245551445,OFFICIAL,EXACT,63.0,63.0,63,OSM,,,,Enedis,Parentis-en-Born,Landes,Nouvelle-Aquitaine,,transmission,way_148954811,,39.34992849979204,40217,40217,MISSING,14/03/2025,
ORE_22278_unknown,,DX_SOURCE,AGENCE_ORE,48.52294829129333,-2.7566904007467685,OFFICIAL,EXACT,63.0,63.0,63,OSM,,,,Enedis,Saint-Brieuc,Côtes-d'Armor,Bretagne,,,way_572146330,,32.74558021302364,22278,22278,MISSING,14/03/2025,
ORE_16167_unknown,,DX_SOURCE,AGENCE_ORE,45.69576282254936,-0.17253356973670167,OFFICIAL,EXACT,90.0,90.0,90,OSM,,,,Enedis,Jarnac,Charente,Nouvelle-Aquitaine,,distribution,way_155399600,,24.416957548874812,16167,16167,MISSING,14/03/2025,
ORE_13001_unknown,,DX_SOURCE,AGENCE_ORE,43.51827247106029,5.4271407597904275,OFFICIAL,EXACT,63.0,20.0,63;20,OSM,,,,Enedis,Aix-en-Provence,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,,distribution,way_118514464,,14.657228354749543,13001,13001,MISSING,14/03/2025,
ORE_50647_unknown,,DX_SOURCE,AGENCE_ORE,48.84088853016682,-1.5449674841304797,OFFICIAL,EXACT,90.0,20.0,90;20,OSM,,,,Enedis,Yquelon,Manche,Normandie,,distribution,way_182898111,,32.46479604457558,50647,50647,MISSING,14/03/2025,
ORE_51440_unknown,,DX_SOURCE,AGENCE_ORE,49.29973195493848,4.339874906764005,OFFICIAL,EXACT,63.0,63.0,63,OSM,,,,Enedis,Pontfaverger-Moronvilliers,Marne,Grand Est,,,way_82825426,,29.858655670050886,51440,51440,MISSING,14/03/2025,
ORE_65031_unknown,,DX_SOURCE,AGENCE_ORE,42.89920804192469,0.3650541719929356,OFFICIAL,EXACT,63.0,63.0,63,OSM,,,,Enedis,Arreau,Hautes-Pyrénées,Occitanie,,transmission,way_314378570,,99.67302972062484,65031,65031,MISSING,14/03/2025,
ORE_74173_unknown,,DX_SOURCE,AGENCE_ORE,45.85835276971657,6.613570137172004,OFFICIAL,EXACT,63.0,20.0,63;20,OSM,,,,Enedis,Megève,Haute-Savoie,Auvergne-Rhône-Alpes,,transmission,way_68157345,,33.8485114705893,74173,74173,MISSING,14/03/2025,
ORE_37261_unknown,,DX_SOURCE,AGENCE_ORE,47.43130019578973,0.673932076045509,OFFICIAL,EXACT,90.0,90.0,90,OSM,,,,Enedis,Tours,Indre-et-Loire,Centre-Val de Loire,,,way_128845095,,28.52033591036822,37261,37261,MISSING,14/03/2025,
ORE_37214_unknown,,DX_SOURCE,AGENCE_ORE,47.401794252614074,0.6780187613382871,OFFICIAL,EXACT,90.0,90.0,90,OSM,,,,Enedis,Saint-Cyr-sur-Loire,Indre-et-Loire,Centre-Val de Loire,,,way_63364511,,23.485670832812612,37214,37214,MISSING,14/03/2025,
ORE_35360_unknown,,DX_SOURCE,AGENCE_ORE,48.12884913395155,-1.2390917650777356,OFFICIAL,EXACT,90.0,90.0,90,OSM,,,,Enedis,Vitré,Ille-et-Vilaine,Bretagne,,,way_188216180,,78.3258752037675,35360,35360,MISSING,14/03/2025,
