id,name,network_level,source,lat,lon,coord_source,coord_quality,voltage_in_kv,voltage_out_kv,voltage_levels,voltage_source,capacity_available_mw,capacity_reserved_mw,capacity_total_mw,operator,commune,departement,region,function,substation_type,osm_id,osm_match_score,osm_match_distance_m,source_id,code_insee,capacity_source,last_updated,notes
RTE_1CLAM,CLAMART,TX,RTE_ODRE,48.799454,2.2593249,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Hauts-de-Seine,,Poste de transformation,transmission,way_116702384,1.0,,1CLAM,,MISSING,2025-12-13T03:11:38.849049,
RTE_A.HUE,ALPE-D HUEZ,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Isère,,Poste de transformation,,,,,A.HUE,,MISSING,2025-12-13T03:11:38.849084,
RTE_A.LI7,AIR-LIQUIDE (SOGIF),TX,RTE_ODRE,44.367202,4.7090766,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Ardèche,,Poste de transformation,industrial,way_278718678,1.0,,A.LI7,,MISSING,2025-12-13T03:11:38.849092,
RTE_A.TO5,ARSENAL DE TOULON,TX,RTE_ODRE,47.9939919,0.2105709,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Var,,Poste de transformation,minor_distribution,way_65554981,0.9,,A.TO5,,MISSING,2025-12-13T03:11:38.849098,
RTE_ALBIA,ALBIAS,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Tarn-et-Garonne,,Poste de transformation,,,,,ALBIA,,MISSING,2025-12-13T03:11:38.849106,
RTE_ALLIN,ALLINGES,TX,RTE_ODRE,,,MISSING,MISSING,225.0,,225kV,OFFICIAL,,,,RTE,,Haute-Savoie,,Poste de transformation,,,,,ALLIN,,MISSING,2025-12-13T03:11:38.849113,
RTE_ALRAN,ALRANCE,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Aveyron,,Poste de transformation,,,,,ALRAN,,MISSING,2025-12-13T03:11:38.849118,
RTE_ASASP,ASASP,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Pyrénées-Atlantiques,,Poste de transformation,,,,,ASASP,,MISSING,2025-12-13T03:11:38.849127,
RTE_AUBER,AUBERVILLE,TX,RTE_ODRE,,,MISSING,MISSING,90.0,,90kV,OFFICIAL,,,,RTE,,Seine-Maritime,,Poste de transformation,,,,,AUBER,,MISSING,2025-12-13T03:11:38.849134,
RTE_AULNA,AULNAY (-AUX-PLANCHES),TX,RTE_ODRE,,,MISSING,MISSING,90.0,,90kV,OFFICIAL,,,,RTE,,Marne,,Poste de transformation,,,,,AULNA,,MISSING,2025-12-13T03:11:38.849139,
RTE_B.AI5,BEL-AIR (CLIENT),TX,RTE_ODRE,43.7334786,-1.0741584,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Maine-et-Loire,,Poste de transformation,minor_distribution,node_5765730836,1.0,,B.AI5,,MISSING,2025-12-13T03:11:38.849143,
RTE_BACAL,BACALAN,TX,RTE_ODRE,44.8822758,-0.5458476,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Gironde,,Poste de transformation,transmission,way_147394004,1.0,,BACAL,,MISSING,2025-12-13T03:11:38.849147,
RTE_BALAR,BALARUC,TX,RTE_ODRE,43.446012,3.7061926,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Hérault,,Poste de transformation,transmission,way_129830455,1.0,,BALAR,,MISSING,2025-12-13T03:11:38.849150,
RTE_BAUDR,BAUDRY,TX,RTE_ODRE,48.8722675,2.3067513,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Hauts-de-Seine,,Poste de transformation,distribution,way_69104422,0.9,,BAUDR,,MISSING,2025-12-13T03:11:38.849154,
RTE_BESS6,BESSANGES (CLIENT),TX,RTE_ODRE,45.084841,-0.0574547,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Gironde,,Poste de transformation,transmission,way_142348156,1.0,,BESS6,,MISSING,2025-12-13T03:11:38.849158,
